,id,PartType,CardText_CardPriority,CardText_Text,CardText_Color,Manufacturer,DispName,CostMod,RarityMod,Priority,TechMod,AttrMod_Damage_Scale,LinkedPrefix,AttrMod_Recoil_PreAdd,AttrMod_FireRate_PreAdd,AttrMod_ClipSize_Scale,CardMod_Damage,CardMod_Recoil,CardMod_FireRate,CardMod_ClipSize,AttrMod_WeaponLevel_PreAdd,AttrMod_AccRegen_Scale,AttrMod_AccMax_Scale,AttrMod_AccMin_Scale,AttrMod_Recoil_Scale,AttrMod_Spread_Scale,TitleText,AttrMod_ReloadSpeed_Scale,CardMod_Spread,AttrMod_FireRate_Scale,AttrMod_Knockback_Scale,AttrMod_ReloadSpeed_PreAdd,CardMod_ReloadSpeed,AttrMod_ProjectileCount_PreAdd,CardMod_ProjectileCount,AttrMod_CritBonus_Scale,CardMod_CritBonus,TitleAddend,AttrMod_ClipSize_PreAdd,AttrMod_MeleeDamage_Scale,LinkedTitle,Tech1_TechLevel,Tech1_LinkedPrefix,Tech1_TechType,Tech1_ProcChance,Tech1_TechCost,Tech1_Bullet,Tech2_TechLevel,Tech2_LinkedPrefix,Tech2_TechType,Tech2_ProcChance,Tech2_TechCost,Tech2_Bullet,Tech3_TechLevel,Tech3_LinkedPrefix,Tech3_TechType,Tech3_ProcChance,Tech3_TechCost,Tech3_Bullet,Tech4_TechLevel,Tech4_LinkedPrefix,Tech4_TechType,Tech4_ProcChance,Tech4_TechCost,Tech4_Bullet,AttrMod_BurstCount_PreAdd,AttrMod_ProjectileCount_Scale,CardMod_BurstCount,AttrMod_MeleeDamage_PreAdd,CardMod_MeleeDamage,AttrMod_ProjectileCount_PostAdd,AttrMod_CritBonus_PreAdd,AttrMod_AmmoRegen_PostAdd,CardMod_AmmoRegen,AttrMod_ZoomEndFOV_Scale,CardMod_ZoomEndFOV,AttrMod_AccMin_PreAdd,AttrMod_DamageNormalized_Scale,AttrMod_HealthRegen_PostAdd,AttrMod_ShotCost_PreAdd,AttrMod_HealthRegen_PreAdd,CardMod_HealthRegen,AttrMod_ProjectileSpeed_Scale,CardMod_ProjectileSpeed,HelpText,AttrMod_BurstCount_Scale,AttrMod_Spread_PreAdd,AttrMod_AccRegen_PreAdd,AttrMod_AccMax_PostAdd,AttrMod_Knockback_PreAdd,AttrMod_AmmoRegen_Scale,AttrMod_ShotCost_Scale,DamageType,AttrMod_Radius_PreAdd,Spawn,AttrMod_CoolRate_Scale,AttrMod_CoolDelay_Scale
gd_weap_combat_shotgun.Barrel.barrel2_Shredder,b003,Barrel,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,,0.15,,,,,,,,,,,-0.20,0.20,0.20,0.28,,,,,,,,,,,,,,,t012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel3,b004,Barrel,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,2,0.10,,,,,,,,,,,-0.30,0.30,,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel3_Carnage,b005,Barrel,4,Holy crap! It shoots rockets!,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,-500,5.0,,,,,,,,,,,-0.30,0.30,,-0.50,,,,,,,,,,,,,,,t009,,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel4,b006,Barrel,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,1,0.30,,,,,,,,,,,-0.10,-0.40,0.35,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel5,b007,Barrel,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.15,,,,,,,,,,,-0.40,-1.50,-0.50,-1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Barrel.barrel5_JakobsStriker,b008,Barrel,,,,Jakobs,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,,,,,,,,,,,,,-0.40,-1.0,-0.50,-1.0,,,,,,,,,,,3,,,,t015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body1,f001,Body,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,-0.08,,,,,,,,,,,,,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body2,f002,Body,,,,,,WeaponPartCost1_Common,WeaponPartRarity2_Uncommon,,,0.10,,,,,,,,,,,,,0.30,,SPR,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body3,f003,Body,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,3,-0.15,,,,,,,,,,,,,-0.30,,ZX,,,-0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body3_Tediore_Defender,f004,Body,,,,Tediore,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,3,0.25,,,,,,,,,,,,,-0.30,,DEF,,,-0.30,,,,,,,,,,,t016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body4,f005,Body,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.20,,,,,,,,,,,,,0.50,,BA,,,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Body.body5,f006,Body,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.20,,,,,,,,,,,,,-0.20,,ZPR,,,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sight1_,z001,Sight,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,1,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sight2_,z002,Sight,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,2,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sight3,z003,Sight,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,3,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sight4,z004,Sight,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,4,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sight5,z005,Sight,,,,,,WeaponPartCost5_VeryRare,WeaponPartRarity5_VeryRare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,5,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Sight.sightnone,z006,Sight,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Stock.stock1,s001,Stock,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,,,,,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Stock.stock2,s002,Stock,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,,,,,,,,,,0.20,-0.1,-0.1,-0.4,,,0.30,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Stock.stock3,s003,Stock,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,,,,,,,,,,,0.40,-0.20,-0.20,-0.30,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Stock.stock_none,s004,Stock,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,1.0,-0.20,,0.40,,,-0.30,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip1,g001,Grip,,,,Tediore,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip1a,g002,Grip,,,,SandS Munitions,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip2,g003,Grip,,,,Dahl,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip2_gearbox,g004,Grip,,,,Gearbox,,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip2a_Torgue,g005,Grip,,,,Torgue,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,p060,,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip3,g006,Grip,,,,Maliwan,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip3a,g007,Grip,,,,Vladof,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip3b,g008,Grip,,,,Hyperion,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip4,g009,Grip,,,,Jakobs,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.Grip.grip5,g010,Grip,,,,Atlas,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.mag.mag1,m003,Magazine,,,,,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,-0.18,,,,,,,,,,,,,,,,-0.40,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.mag.mag2,m004,Magazine,,,,,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,90,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.mag.mag2_Dahl_Bulldog,m005,Magazine,,,,Dahl,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,2,,,,,,,,,,,,,,,,,-0.50,,-0.20,,,,,,,,90,14,,t014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.mag.mag4,m006,Magazine,,,,,,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.mag.mag5,m007,Magazine,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,1.02,,,,,,,,,,,,,,,,-0.50,,,,,,,,,,5,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.Blister_barrel3,u001,Barrel,,,,Torgue,,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,,2,0.3,p018,,,,,,,,,,-0.3,-0.3,,-0.5,,,,,,,,,,,,,,,t019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.Blister_Material,u002,Material,,,,Torgue,,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,,,,,,,,,3,,,,-0.23,-0.60,0.15,-0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.BoomStick_barrel3_Carnage,u003,Barrel,,,,Torgue,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,-500,6.0,p018,,,,,,,,,,-0.3,-0.3,,1.0,,1.0,,-4.0,,,,,,,,,,,t018,,,,,,,,,,,,,,,,,,,,,,,,,6,-100,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.BoomStick_Material,u004,Material,,,,Torgue,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,0.24,,,,,3,,3,,1,,,,0.54,0.35,,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.SledgesShotgun_barrel2,u005,Barrel,,,,Jakobs,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,-0.35,,,,,,,,,,,1.0,0.2,2,1.5,,0.6,,-7,6,,,2,,,,,,,t020,,,,,,,,,,,,,,,,,,,,,,,,,100,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.SledgesShotgun_Material,u006,Material,,,,Jakobs,,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,,,0.55,,,,,3,,,,2,,,,0.45,0.6,XX,,,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.TKsWave_barrel2,u007,Barrel,,,,Dahl,,WeaponPartCost1_Common,WeaponPartRarity1_Common,,,0.3,,,,,,,,,,,-0.2,0.2,0.1,0.2,,,,,,,,,,,1,,,,t021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_combat_shotgun.UniqueParts.TKsWave_Material,u008,Material,,,,Dahl,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,,,,,,3,,,1,-0.23,-0.6,0.1,-0.2,0.15,U,-0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Acc1_Bladed,p063,Prefix,,,,,Bladed,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Damage1_Bloody,p064,Prefix,,,,,Bloody,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2,1,0.12,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Firerate1_Swift,p065,Prefix,,,,,Swift,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.2,,,,,,,,,2,,,0.2,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_LowAccuracy1_Raw,p066,Prefix,,,,,Raw,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,1.9,,0.16,,,,,,,2,,,,,,,0.3,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Quality1_Brutal,p067,Prefix,,,,,Brutal,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.1,1,0.06,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Quality2_Primal,p068,Prefix,,,,,Primal,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.3,1,0.09,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Prefix.Prefix_Quality3_Savage,p069,Prefix,,,,,Savage,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.6,1,0.12,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title__Revolver,t022,Title,,,,,Revolver,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title_Acc1_Razor,t023,Title,,,,,Razor,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title_Acc2_Masher,t024,Title,,,,,Masher,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title_Accuracy1_Viper,t025,Title,,,,,Viper,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title_Damage2_Justice,t026,Title,,,,,Justice,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.5,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.Title_Firerate1_Law,t027,Title,,,,,Law,WeaponPartCost2_Uncommon,WeaponPartRarity2_Uncommon,2.1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleM_Atlas1_Chimera,t028,Title,10,"A beast of many forms - Fire, Lightning, and Poison",DC4646,,Chimera,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleM_Dahl1_Anaconda,t029,Title,10,Long and Strong,DC4646,,Anaconda,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleM_Jakobs1_Unforgiven,t030,Title,10,It's a helluva thing...,DC4646,,Unforgiven,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleM_Maliwan1_Defiler,t031,Title,10,Give Sick,DC4646,,Defiler,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleM_Tediore1_Equalizer,t032,Title,10,Unending Firepower,DC4646,,Equalizer,WeaponPartCost1_Common,WeaponPartRarity6_Legendary,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleU_OneEyedJack_Madjack,t033,Title,5,Fools!  They called me maaaad!,DC4646,,Madjack,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.Title.TitleU_Retail_Patton,t034,Title,5,"May God have mercy upon my enemies, because I won't.",DC4646,,Patton,WeaponPartCost4_Rare,WeaponPartRarity4_Rare,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc1_Bladed,a017,Accessory,,,,,,WeaponPartCost5_VeryRare,WeaponPartRarity3_Uncommoner,,,,p063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc1_Razor,a018,Accessory,,,,,,WeaponPartCost3_Uncommoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t023,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc2_Masher,a019,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,-2,,,,,,,,,,,,,1,2,,,,,,,,6,,,,,,,t024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc3_Corrosive,a020,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p023,Corrosive,100,0,y019,9,p024,Corrosive,40,20,y020,12,p025,Corrosive,20,20,y021,15,p026,Corrosive,15,20,y022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc3_Maliwan_Defiler_Corrosive,a021,Accessory,,,,,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,14,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,888,,,t031,6,p023,Corrosive,100,0,y020,9,p024,Corrosive,40,20,y020,12,p025,Corrosive,20,20,y021,15,p026,Corrosive,20,20,y022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc3_Shock,a022,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,6,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,6,p035,Shock,100,0,y043,9,p036,Shock,40,20,y027,12,p037,Shock,20,20,y028,15,p038,Shock,15,20,y029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc4_stabilized,a023,Accessory,,,,,,WeaponPartCost3_Uncommoner,WeaponPartRarity3_Uncommoner,,,,p071,,,,,,,,,0.5,,,-0.2,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_weap_revolver_pistol.acc.acc5_Atlas_Chimera,a024,Accessory,,,,Atlas,,WeaponPartCost6_Legendary,WeaponPartRarity3_Uncommoner,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,t028,6,,Explosive,100,0,y015,9,,Shock,30,20,y027,12,,Shock,15,20,y028,15,,Shock,10,20,y029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
